playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
bakerjo01,2014,182,9,35,7,0,0,15,19,58,3,2,2,0.273,0.231,0.504,0.278,0.314,0.386,47
bakopa01,1999,215,16,55,14,1,2,17,26,57,3,0,3,0.332,0.358,0.69,0.333,0.345,0.434,79
bakopa01,2000,161,10,39,6,1,0,14,22,48,7,1,1,0.335,0.292,0.627,0.342,0.345,0.437,64
bakopa01,2001,137,19,29,10,1,2,15,20,34,2,0,0,0.312,0.343,0.655,0.267,0.332,0.427,74
bakopa01,2002,234,24,55,8,1,4,20,20,46,3,0,0,0.295,0.329,0.624,0.277,0.331,0.417,68
bakopa01,2003,188,19,43,13,3,0,17,22,47,3,1,1,0.311,0.33,0.641,0.303,0.333,0.422,72
bakopa01,2004,138,13,28,8,0,1,10,15,29,3,2,1,0.288,0.283,0.571,0.248,0.335,0.428,52
bakopa01,2006,153,7,32,3,0,0,10,11,46,0,0,1,0.261,0.229,0.489,0.296,0.337,0.432,30
bakopa01,2007,156,13,32,3,1,1,8,15,50,0,1,1,0.277,0.256,0.534,0.292,0.336,0.423,43
bakopa01,2008,299,30,65,11,2,6,35,34,90,5,1,1,0.299,0.328,0.626,0.289,0.333,0.416,69
bakopa01,2009,116,12,26,4,0,3,9,13,32,2,1,0,0.308,0.336,0.644,0.284,0.333,0.418,73
baldero01,2003,637,89,184,32,8,11,78,30,128,4,8,6,0.326,0.416,0.742,0.343,0.333,0.422,96
baldero01,2004,518,79,145,27,3,16,74,30,88,2,8,6,0.326,0.436,0.762,0.307,0.335,0.428,99
